Teilnehmer,Szenario,Zeitpunkt,Text,Modalitaet
02,szenario_1,00:00:00,"Stress: mittel – Der Puls von 109 bpm ist erhöht, was auf einen moderaten Stresszustand hinweist.  

Entspannung: niedrig – Die Körperhaltung wirkt nicht vollständig entspannt, möglicherweise durch die hohe Pulsrate beeinflusst.  

Ablenkung: hoch – Die Versuchsperson schaut aktiv auf den Bildschirm und scheint sich mit dessen Inhalt zu beschäftigen.  

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser relativ hoch ist.",Physiologie
02,szenario_1,00:00:10,"Stress: mittel – Der Puls von 109.0 bpm ist leicht erhöht, was auf einen moderaten Stresslevel hinweisen könnte.  
Entspannung: niedrig – Die Person sitzt mit gekreuzten Armen, was weniger entspannt wirkt.  
Ablenkung: hoch – Der Blick ist auf das Infotainmentsystem gerichtet, was auf Ablenkung hindeutet.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, das eine klare Ablenkung durch das Infotainmentsystem zeigt.",Bild
02,szenario_1,00:00:20,"Stress: mittel – Der Puls von 109 bpm ist erhöht, was auf eine gewisse Stressreaktion hinweist.  
Entspannung: niedrig – Die Körperhaltung wirkt aufrecht, was auf eine geringe Entspannung schließen lässt.  
Ablenkung: hoch – Die Person betrachtet den Bildschirm, was auf eine hohe Ablenkung vom Fahren hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Person offensichtlich abgelenkt ist.",Bild
02,szenario_1,00:00:30,"Stress: mittel – Der Puls von 109 bpm ist über dem Normalwert, was auf eine moderate Stressreaktion hindeutet.  
Entspannung: niedrig – Der Oberkörper zeigt keine offensichtlichen Anzeichen von Entspannung, und der erhöhte Puls deutet ebenfalls auf einen geringeren Entspannungsgrad hin.  
Ablenkung: hoch – Der Blick scheint sich auf das Tablet zu konzentrieren, was auf eine signifikante Ablenkung hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls und dem Blickverhalten, da diese offensichtlich auf Stress und Ablenkung hindeuten.",Beides
02,szenario_1,00:00:40,"Stress: mittel – Der Puls ist erhöht, was auf einen moderaten Stresszustand hindeutet.  
Entspannung: niedrig – Die Körperhaltung ist relativ aufrecht und nicht entspannt.  
Ablenkung: hoch – Der Blick ist eindeutig auf das Infotainmentsystem gerichtet, was auf eine starke Ablenkung hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung, da diese eindeutig auf das Infotainmentsystem gerichtet ist.",Bild
02,szenario_1,00:00:50,"Stress: mittel – Der Puls von 109 bpm ist erhöht, was auf eine moderate Stressreaktion hindeutet.  
Entspannung: niedrig – Die Körperhaltung ist relativ steif, was auf eine geringe Entspannung hindeutet.  
Ablenkung: hoch – Der Blick der Person ist deutlich auf den Bildschirm gerichtet, was eine signifikante Ablenkung anzeigen kann.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls und der Blickrichtung, da diese zusammen eine moderate Stressreaktion und hohe Ablenkung suggerieren.",Beides
02,szenario_1,00:01:00,"Stress: mittel – Der Puls von 94 bpm deutet auf eine leichte Erhöhung hin, die auf moderaten Stress schließen lässt. Die körperliche Aktivität ist minimal, was ebenfalls auf ein gewisses Maß an Anspannung hindeutet.

Entspannung: niedrig – Die Körperhaltung wirkt nicht völlig entspannt, da die Person zwar eine zurückgelehnte Position einnimmt, aber die Hände auf dem Lenkrad behalten, was auf unvollständige Entspannung hinweisen könnte.

Ablenkung: hoch – Die Experimentperson konzentriert ihren Blick eindeutig auf ein Gerät seitlich vor ihr, was darauf schließen lässt, dass sie nicht vollständig auf den Fahrverlauf fokussiert ist.

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Daten des Pulses, der leicht erhöht ist und somit als Hauptindikator für mittelmäßigen Stress dient.",Physiologie
02,szenario_1,00:01:10,"Stress: mittel – Der erhöhte Puls von 94 bpm deutet auf eine moderate Belastung hin, obwohl kein klares Zeichen von körperlicher Anspannung sichtbar ist.  
Entspannung: niedrig – Die Haltung scheint nicht ausdrücklich entspannt, und der Fokus auf die Simulation erfordert Aufmerksamkeit.  
Ablenkung: hoch – Die Person schaut eindeutig auf das Infotainmentsystem, was auf eine starke Abweichung von der Fahrtaufgabe hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung auf das Infotainmentsystem entscheidend ist.",Bild
02,szenario_1,00:01:20,"Stress: mittel – Der Puls von 94 bpm deutet auf eine moderate Stresslevel hin, obwohl keine direkten Anzeichen von Anspannung auf dem Bild erkennbar sind.  

Entspannung: mittel – Die entspannte Körperhaltung spricht für eine gewisse Ruhe, jedoch widerspricht der leicht erhöhte Puls einer hohen Entspannungsstufe.  

Ablenkung: hoch – Der Blick ist deutlich auf den Bildschirm gerichtet, was auf eine starke Ablenkung von der Fahraktivität hindeutet.  

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Ablenkung, da der Fokus klar auf dem Bildschirm liegt.",Bild
02,szenario_1,00:01:30,"Stress: mittel – Der Puls von 94 bpm ist leicht erhöht, was auf eine moderate Belastung hindeuten kann. 

Entspannung: mittel – Die Körperhaltung ist relativ entspannt; es deutet nichts auf unmittelbare Spannung hin. 

Ablenkung: hoch – Die Person ist aktiv dem Bildschirm zugewandt, was auf eine hohe Ablenkung insbesondere von der Fahraufgabe hindeutet. 

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Betrachtung des Blickverhaltens und der Ausrichtung der Person zum Bildschirm.",Bild
02,szenario_1,00:01:40,"Stress: mittel – Der leicht erhöhte Puls von 94 bpm deutet auf eine moderate Stressbelastung hin, eventuell durch die kontinuierliche Übernahmebereitschaft.  
Entspannung: mittel – Die Körperhaltung der Person wirkt relativ entspannt und bequem im Sitz, was auf eine gewisse Entspannung hinweist.  
Ablenkung: hoch – Die Person scheint ihre Aufmerksamkeit dem Bildschirm zuzuwenden, was auf eine hohe Ablenkung schließen lässt.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung und der Körperhaltung, die Ablenkung am besten widerspiegeln.",Bild
02,szenario_1,00:01:50,"Stress: niedrig – Der Puls ist leicht erhöht, aber die körperliche Haltung wirkt relativ entspannt.  
Entspannung: mittel – Die Haltung der Person im Sitz erscheint locker und nicht angespannt, was auf eine moderate Entspannung hinweist.  
Ablenkung: mittel – Die Person hat ihren Blick zur Seite gerichtet und nicht auf die Vorwärtsfahrtrichtung, was auf moderate Ablenkung hindeutet.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, die relativ entspannt erscheint.",Bild
02,szenario_1,00:02:00,"Stress: niedrig – Der Puls ist im normalen Bereich und es gibt keine Anzeichen für körperliche Anspannung.  
Entspannung: mittel – Die Körperhaltung wirkt relativ entspannt, obwohl die Person aufrecht sitzt.  
Ablenkung: hoch – Der Blick richtet sich klar auf das Tablet, was auf eine starke Fokussierung auf externe Informationen hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung, da diese deutlich auf das Infotainmentsystem gerichtet ist.",Bild
02,szenario_1,00:02:10,"Stress: niedrig – Der Puls von 84 bpm ist im normalen Bereich und die Mimik wirkt nicht angespannt. Der niedrige EDA-Wert deutet ebenfalls auf wenig Stress hin.

Entspannung: mittel – Die Körperhaltung der Person wirkt relativ entspannt, jedoch fehlt die Möglichkeit, dies vollständig zu bestimmen ohne den RMSSD-Wert.

Ablenkung: hoch – Der Blick ist auf das Infotainmentsystem gerichtet, was auf eine starke Ablenkung hinweist.

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Physiologie, insbesondere dem Puls und dem EDA-Wert.",Physiologie
02,szenario_1,00:02:20,"Stress: niedrig – Der Puls von 84 bpm ist normal und zeigt keine Anzeichen von erhöhtem Stress, und die physiologischen Daten wie EDA und Bewegung sind unauffällig.  
Entspannung: mittel – Die person wirkt entspannt in ihrer Körperhaltung und lehnt sich zurück, allerdings zeigen die physiologischen Werte etwas Aktivität, was auf eine mittlere Entspannung hindeutet.  
Ablenkung: hoch – Die Person richtet ihren Kopf deutlich auf das Display, was auf eine starke Ablenkung durch das Infotainmentsystem hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem visuellen Verhalten bezüglich Ablenkung, da die Person offensichtlich vom Display angezogen wird.",Bild
02,szenario_1,00:02:30,"Stress: niedrig – Der Puls liegt im normalen Bereich und die physiologischen Werte (EDA) sind ebenfalls unauffällig.  
Entspannung: mittel – Die Person sitzt relativ entspannt, was durch die lockere Körperhaltung unterstützt wird.  
Ablenkung: hoch – Der Blick der Person ist auf das Infotainmentsystem gerichtet, was auf eine Beschäftigung mit externen Inhalten hindeutet.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körper- und Blickhaltung.",Bild
02,szenario_1,00:02:40,"Stress: niedrig – Der Puls von 84 bpm liegt im normalem Bereich und die Körperhaltung erscheint entspannt.  
Entspannung: mittel – Die Körperhaltung ist entspannt, allerdings würde ein niedriger Puls eine höhere Entspannung andeuten.  
Ablenkung: hoch – Die Versuchsperson blickt auf ein Bildschirm und wirkt in die dargestellten Informationen vertieft, was auf hohe Ablenkung hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Blickrichtung klar auf den Bildschirm fokussiert ist.",Bild
02,szenario_1,00:02:50,"Stress: niedrig – Der Puls ist normal und die Elektodermale Aktivität ist relativ niedrig, was auf einen entspannten Zustand hindeutet.  
Entspannung: mittel – Die Person sitzt ruhig, was auf eine gewisse Entspannung hindeutet, obwohl keine zusätzliche Information zur RMSSD vorliegt.  
Ablenkung: hoch – Der Blick richtet sich auf den Bildschirm, was auf eine starke Beschäftigung mit einer Tätigkeit außerhalb der Fahrsimulation hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Aufmerksamkeit der Person deutlich auf den Bildschirm gerichtet ist.",Bild
02,Musikintervention,00:00:00,"Stress: mittel – Der Puls von 92 bpm ist leicht über dem Normalwert, was auf eine moderate Stressreaktion hindeutet.  

Entspannung: niedrig – Die Körperhaltung wirkt zwar entspannt, jedoch sind die physiologischen Werte nicht im Entspannungsbereich.  

Ablenkung: hoch – Der Blick ist eindeutig auf den Bildschirm gerichtet, was auf eine hohe Ablenkung hinweist.  

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Blickverhalten, da die Person deutlich auf den Bildschirm fokussiert ist.",Bild
02,Musikintervention,00:00:10,"Stress: niedrig – Der Puls liegt im normalen Bereich und die geringe EDA-Werte sprechen für einen entspannten Zustand.  
Entspannung: mittel – Die Körperhaltung ist relativ entspannt, allerdings zeigt der leicht erhöhte Puls, dass die Person nicht vollständig entspannt ist.  
Ablenkung: hoch – Die Augen scheinen auf den Bildschirm gerichtet zu sein, was darauf hindeutet, dass die Person vom Fahrgeschehen abgelenkt ist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körperhaltung und Blickrichtung.",Bild
02,Musikintervention,00:00:20,"Stress: mittel – Der Puls von 92 bpm und der EDA-Wert von 0.86 µS deuten auf eine moderate Stressreaktion hin.  
Entspannung: niedrig – Die Körperhaltung weist auf geringe Entspannung hin, da die Person nicht zurückgelehnt ist.  
Ablenkung: mittel – Der Blick richtet sich auf das Infotainmentsystem, was auf mittlere Ablenkung hinweisen könnte.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und EDA, die beide leicht erhöht sind.",Physiologie
02,Musikintervention,00:00:30,"Stress: mittel – Der Puls von 92 bpm ist leicht erhöht, was auf eine moderate Stressreaktion hinweisen könnte. 
Entspannung: mittel – Die Person sitzt ruhig, was auf eine gewisse Entspannung hinweist, jedoch zeigt der Puls leichte Aktivität. 
Ablenkung: hoch – Die Person schaut eindeutig in Richtung des Monitors und hat ihre Hände nicht am Lenkrad. 
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die blickfokussierte Ablenkung deutlich erkennbar ist.",Bild
