Teilnehmer,Szenario,Zeitpunkt,Modalitaet,Text
10,szenario_1,00:00:20,Physiologie,"Stress: niedrig – Der Puls ist mit 71 bpm im normalen Bereich und die Elektrodermale Aktivität (EDA) ist sehr gering, was auf wenig Stress hindeutet.

Entspannung: mittel – Die Person scheint eine entspannte Körperhaltung einzunehmen, aber die geringe Bewegung könnte auf eine moderate Wachsamkeit hinweisen, was nicht auf vollständige Entspannung deutet.

Ablenkung: mittel – Der Blick geht möglicherweise in Richtung des Monitors, was auf eine gewisse Ablenkung hinweisen kann, jedoch bleibt das System zur Fahrzeugführung überwacht.

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem niedrigen Puls und der EDA."
3,szenario_1,00:02:40,Physiologie,"Stress: niedrig – Der Puls ist mit 77 bpm im normalen Bereich, was auf einen geringen Stresslevel hinweist.  
Entspannung: mittel – Die Körperhaltung wirkt relativ entspannt, jedoch sind die Hände am Lenkrad, was darauf hindeutet, dass die Person nicht völlig entspannt ist.  
Ablenkung: niedrig – Die Person schaut auf den Bildschirm des Fahrsimulators, was zeigt, dass die Aufmerksamkeit auf das Fahrgeschehen gerichtet ist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls, der im normalen Bereich liegt."
11,szenario_1,00:02:20,Bild,"Stress: niedrig – Der Puls von 90 bpm ist im normalen Bereich und die Körperhaltung wirkt locker und entspannt.  
Entspannung: mittel – Die Körperhaltung ist lässig und bequem, was auf ein moderate Maß an Entspannung hindeutet.  
Ablenkung: mittel – Der Blick ist auf ein Infotainment-System projiziert, zeigt eine gewisse Konzentration auf eine andere Tätigkeit.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, da sie locker wirkt."
7,szenario_1,00:01:50,Bild,"Stress: niedrig – Der Puls ist im normalen Bereich und die EDA-Werte sind niedrig, was auf wenig Stress hinweist.  
Entspannung: mittel – Die Körperhaltung wirkt relativ locker, was auf eine gewisse Entspannung hindeutet.  
Ablenkung: mittel – Die Person scheint auf den Bildschirm zu schauen, was auf eine moderate Ablenkung vom Fahrgeschehen hinweist.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Körperhaltung und der Blickverlauf entscheidend sind."
8,szenario_1,00:01:10,Beides,"Stress: niedrig – Der Puls ist im normalen Bereich und die Person zeigt eine entspannte Körperhaltung.  
Entspannung: hoch – Die Person sitzt zurückgelehnt, was auf Entspannung hindeutet, und der Puls ist ebenfalls normal.  
Ablenkung: mittel – Die Person scheint aufmerksam auf das System vor ihr zu blicken, könnte aber leicht abgelenkt sein.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung und der normalen Pulsrate, die zusammen Entspannung nahelegen."
11,szenario_1,00:00:40,Beides,"Stress: mittel – Der Puls ist leicht erhöht, und durch die erhöhte EDA könnte leichte Anspannung vorhanden sein.  
Entspannung: niedrig – Die Körperhaltung ist gerade und weniger entspannt, was auf eine gewisse Anspannung hinweist.  
Ablenkung: hoch – Die Person scheint ihren Blick auf das Infotainmentsystem zu richten, was auf Ablenkung hindeutet.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der EDA und der Blickrichtung, da beide stark auf Stress und Ablenkung hinweisen."
2,Musikintervention,00:00:00,Bild,"Stress: mittel – Der Puls von 92 bpm ist leicht über dem Normalwert, was auf eine moderate Stressreaktion hindeutet.  

Entspannung: niedrig – Die Körperhaltung wirkt zwar entspannt, jedoch sind die physiologischen Werte nicht im Entspannungsbereich.  

Ablenkung: hoch – Der Blick ist eindeutig auf den Bildschirm gerichtet, was auf eine hohe Ablenkung hinweist.  

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Blickverhalten, da die Person deutlich auf den Bildschirm fokussiert ist."
8,Musikintervention,00:01:30,Bild,"Stress: niedrig – Der Puls von 80 bpm und der niedrige EDA-Wert von 1.41 µS deuten auf einen entspannten Zustand hin.  
Entspannung: mittel – Die Körperhaltung wirkt relativ entspannt, aber nicht vollständig gelöst, was mit der Umgebung des Fahrsimulators übereinstimmt.  
Ablenkung: hoch – Die Person richtet ihre Aufmerksamkeit auf den Bildschirm, offensichtlich mehr Fokus auf anderen Tätigkeiten als dem Fahren.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Person deutlich mit dem Blick auf den Bildschirm fokussiert ist, was Ablenkung hervorhebt."
4,Musikintervention,00:00:20,Physiologie,"Stress: mittel – Der Puls von 94 bpm ist leicht erhöht, was auf einen moderaten Stresslevel hinweisen kann.  
Entspannung: mittel – Die Körperhaltung wirkt relativ ruhig und entspannt, was auf eine moderate Entspannung hindeutet.  
Ablenkung: niedrig – Die Hände sind am Lenkrad, und es scheint keine signifikante Ablenkung durch andere Aktivitäten zu geben.  
Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Pulswert, da dieser leicht erhöht ist."
2,Musikintervention,00:01:00,Physiologie,"Stress: niedrig – Der Puls von 59 bpm und der niedrige EDA-Wert von 1.6 µS deuten auf einen entspannten physiologischen Zustand hin. Die Körperhaltung der Person scheint ebenfalls entspannt.

Entspannung: mittel – Die Person sitzt entspannt zurückgelehnt, was auf eine mittlere Entspannung hindeutet, obwohl die Hände gefaltet sind, was geringfügig weniger entspannt wirkt.

Ablenkung: mittel – Die Aufmerksamkeit der Person scheint auf den Bildschirm gelenkt zu sein, was auf moderate Ablenkung hindeutet.

Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten wie Puls und EDA, die auf geringe Stresslevel hinweisen."
