Teilnehmer,Szenario,Kategorie,Modell,szenario,Fragebogen,Treffer
teilnehmer_02,szenario_1,Stress,mittel,szenario_1,hoch,False
teilnehmer_02,szenario_3,Stress,mittel,szenario_3,niedrig,False
teilnehmer_03,szenario_1,Stress,niedrig,szenario_1,hoch,False
teilnehmer_03,szenario_3,Stress,niedrig,szenario_3,niedrig,True
teilnehmer_04,szenario_1,Stress,mittel,szenario_1,hoch,False
teilnehmer_04,szenario_3,Stress,mittel,szenario_3,mittel,True
teilnehmer_05,szenario_1,Stress,niedrig,szenario_1,hoch,False
teilnehmer_05,szenario_3,Stress,mittel,szenario_3,niedrig,False
teilnehmer_06,szenario_1,Stress,mittel,szenario_1,hoch,False
teilnehmer_06,szenario_3,Stress,mittel,szenario_3,niedrig,False
teilnehmer_07,szenario_1,Stress,niedrig,szenario_1,hoch,False
teilnehmer_07,szenario_3,Stress,niedrig,szenario_3,niedrig,True
teilnehmer_08,szenario_1,Stress,,szenario_1,hoch,False
teilnehmer_08,szenario_3,Stress,niedrig,szenario_3,niedrig,True
teilnehmer_09,szenario_1,Stress,niedrig,szenario_1,hoch,False
teilnehmer_09,szenario_3,Stress,mittel,szenario_3,niedrig,False
teilnehmer_10,szenario_1,Stress,niedrig,szenario_1,niedrig,True
teilnehmer_10,szenario_3,Stress,niedrig,szenario_3,hoch,False
teilnehmer_11,szenario_1,Stress,mittel,szenario_1,hoch,False
teilnehmer_11,szenario_3,Stress,mittel,szenario_3,niedrig,False
teilnehmer_02,Musikintervention,Entspannung,mittel,Musikintervention,mittel,True
teilnehmer_03,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_04,Musikintervention,Entspannung,niedrig,Musikintervention,hoch,False
teilnehmer_05,Musikintervention,Entspannung,mittel,Musikintervention,mittel,True
teilnehmer_06,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_07,Musikintervention,Entspannung,mittel,Musikintervention,niedrig,False
teilnehmer_08,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_09,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_10,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_11,Musikintervention,Entspannung,mittel,Musikintervention,hoch,False
teilnehmer_02,szenario_2,Ablenkung,hoch,szenario_2,niedrig,False
teilnehmer_03,szenario_2,Ablenkung,hoch,szenario_2,hoch,True
teilnehmer_04,szenario_2,Ablenkung,hoch,szenario_2,mittel,False
teilnehmer_05,szenario_2,Ablenkung,hoch,szenario_2,niedrig,False
teilnehmer_06,szenario_2,Ablenkung,hoch,szenario_2,hoch,True
teilnehmer_07,szenario_2,Ablenkung,hoch,szenario_2,mittel,False
teilnehmer_08,szenario_2,Ablenkung,hoch,szenario_2,hoch,True
teilnehmer_09,szenario_2,Ablenkung,hoch,szenario_2,mittel,False
teilnehmer_10,szenario_2,Ablenkung,hoch,szenario_2,hoch,True
teilnehmer_11,szenario_2,Ablenkung,hoch,szenario_2,niedrig,False
