Teilnehmer,Szenario,Stress,Entspannung,Ablenkung
teilnehmer_01,Musikintervention,niedrig,mittel,hoch
teilnehmer_01,szenario_1,niedrig,mittel,hoch
teilnehmer_01,szenario_2,niedrig,mittel,hoch
teilnehmer_01,szenario_3,mittel,niedrig,niedrig
teilnehmer_02,Musikintervention,niedrig,mittel,hoch
teilnehmer_02,szenario_1,mittel,mittel,hoch
teilnehmer_02,szenario_2,niedrig,mittel,hoch
teilnehmer_02,szenario_3,mittel,niedrig,niedrig
teilnehmer_03,Musikintervention,niedrig,mittel,mittel
teilnehmer_03,szenario_1,niedrig,mittel,mittel
teilnehmer_03,szenario_2,niedrig,mittel,hoch
teilnehmer_03,szenario_3,niedrig,mittel,niedrig
teilnehmer_04,Musikintervention,mittel,niedrig,mittel
teilnehmer_04,szenario_1,mittel,niedrig,hoch
teilnehmer_04,szenario_2,mittel,niedrig,hoch
teilnehmer_04,szenario_3,mittel,niedrig,niedrig
teilnehmer_05,Musikintervention,niedrig,mittel,mittel
teilnehmer_05,szenario_1,niedrig,mittel,hoch
teilnehmer_05,szenario_2,niedrig,mittel,hoch
teilnehmer_05,szenario_3,mittel,niedrig,niedrig
teilnehmer_06,Musikintervention,mittel,mittel,mittel
teilnehmer_06,szenario_1,mittel,niedrig,hoch
teilnehmer_06,szenario_2,niedrig,mittel,hoch
teilnehmer_06,szenario_3,mittel,niedrig,niedrig
teilnehmer_07,Musikintervention,niedrig,mittel,hoch
teilnehmer_07,szenario_1,niedrig,mittel,hoch
teilnehmer_07,szenario_2,niedrig,mittel,hoch
teilnehmer_07,szenario_3,niedrig,mittel,niedrig
teilnehmer_08,Musikintervention,niedrig,mittel,hoch
teilnehmer_08,szenario_1,niedrig,mittel,hoch
teilnehmer_08,szenario_2,niedrig,mittel,hoch
teilnehmer_08,szenario_3,niedrig,mittel,niedrig
teilnehmer_09,Musikintervention,niedrig,mittel,hoch
teilnehmer_09,szenario_1,niedrig,mittel,hoch
teilnehmer_09,szenario_2,niedrig,mittel,hoch
teilnehmer_09,szenario_3,mittel,niedrig,niedrig
teilnehmer_10,Musikintervention,niedrig,mittel,niedrig
teilnehmer_10,szenario_1,niedrig,mittel,hoch
teilnehmer_10,szenario_2,niedrig,mittel,hoch
teilnehmer_10,szenario_3,niedrig,mittel,niedrig
teilnehmer_11,Musikintervention,mittel,mittel,hoch
teilnehmer_11,szenario_1,mittel,mittel,hoch
teilnehmer_11,szenario_2,mittel,mittel,hoch
teilnehmer_11,szenario_3,mittel,niedrig,niedrig
