teilnehmer,szenario,zeitpunkt,modalitaet,text
02,szenario_1,00:00:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls, da dieser relativ hoch ist."
02,szenario_1,00:00:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, das eine klare Ablenkung durch das Infotainmentsystem zeigt."
02,szenario_1,00:00:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Person offensichtlich abgelenkt ist."
02,szenario_1,00:00:30,Beides,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls und dem Blickverhalten, da diese offensichtlich auf Stress und Ablenkung hindeuten."
02,szenario_1,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung, da diese eindeutig auf das Infotainmentsystem gerichtet ist."
02,szenario_1,00:00:50,Beides,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Puls und der Blickrichtung, da diese zusammen eine moderate Stressreaktion und hohe Ablenkung suggerieren."
02,szenario_1,00:01:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der physiologischen Daten des Pulses, der leicht erhöht ist und somit als Hauptindikator für mittelmäßigen Stress dient."
02,szenario_1,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Blickrichtung auf das Infotainmentsystem entscheidend ist."
02,szenario_1,00:01:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Ablenkung, da der Fokus klar auf dem Bildschirm liegt."
02,szenario_1,00:01:30,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Betrachtung des Blickverhaltens und der Ausrichtung der Person zum Bildschirm.
02,szenario_1,00:01:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung und der Körperhaltung, die Ablenkung am besten widerspiegeln."
02,szenario_1,00:01:50,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Körperhaltung, die relativ entspannt erscheint."
02,szenario_1,00:02:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung, da diese deutlich auf das Infotainmentsystem gerichtet ist."
02,szenario_1,00:02:10,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Physiologie, insbesondere dem Puls und dem EDA-Wert."
02,szenario_1,00:02:20,Unklar,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem visuellen Verhalten bezüglich Ablenkung, da die Person offensichtlich vom Display angezogen wird."
02,szenario_1,00:02:30,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körper- und Blickhaltung.
02,szenario_1,00:02:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da die Blickrichtung klar auf den Bildschirm fokussiert ist."
02,szenario_1,00:02:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Aufmerksamkeit der Person deutlich auf den Bildschirm gerichtet ist."
02,Musikintervention,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Blickverhalten, da die Person deutlich auf den Bildschirm fokussiert ist."
02,Musikintervention,00:00:10,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Beobachtung der Körperhaltung und Blickrichtung.
02,Musikintervention,00:00:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und EDA, die beide leicht erhöht sind."
02,Musikintervention,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die blickfokussierte Ablenkung deutlich erkennbar ist."
02,Musikintervention,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Bildanalyse, da der Blick klar auf den Bildschirm gerichtet ist."
02,Musikintervention,00:00:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem Puls und der EDA."
02,Musikintervention,00:01:00,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten wie Puls und EDA, die auf geringe Stresslevel hinweisen."
02,Musikintervention,00:01:10,Physiologie,"Dominierende Datenquelle: Die physiologischen Werte, insbesondere der niedrige Puls und die geringe EDA, beeinflussen die Einschätzung am stärksten."
02,Musikintervention,00:01:20,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert primär auf den physiologischen Werten, insbesondere dem Puls und der EDA, da diese konkrete Hinweise auf den Stresslevel liefern."
02,Musikintervention,00:01:30,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Pulsrate, da sie deutlich niedrig ist."
02,Musikintervention,00:01:40,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Daten (Puls und EDA), die beide auf ein niedriges Stresslevel hinweisen."
02,Musikintervention,00:01:50,Physiologie,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf den physiologischen Werten, insbesondere dem niedrigen Puls, der auf eine geringe Stressbelastung hinweist."
02,szenario_2,00:00:00,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Blickrichtung, da diese deutlich auf den Bildschirm gerichtet ist."
02,szenario_2,00:00:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da der Blick deutlich auf den Bildschirm gerichtet ist, was Ablenkung hervorhebt."
02,szenario_2,00:00:20,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der Interaktion mit dem Infotainmentsystem im Bild, die Ablenkung deutlich zeigt."
02,szenario_2,00:00:30,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da es eindeutig zeigt, dass der Fokus auf den Bildschirm gerichtet ist."
02,szenario_2,00:00:40,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, da die Handlungen der Person deutlich auf Ablenkung hinweisen."
02,szenario_2,00:00:50,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf dem Bild, welches zeigt, dass der Blick intensiv auf den Bildschirm gerichtet ist."
02,szenario_2,00:01:00,Bild,"Dominierende Datenquelle: Die Einschätzung zur Ablenkung basiert hauptsächlich auf dem Bild, da die Person offensichtlich abgelenkt ist."
02,szenario_2,00:01:10,Bild,"Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Analyse, da die Interaktion mit dem Bildschirm deutlich zeigt, dass die Person abgelenkt ist."
02,szenario_2,00:01:20,Bild,Dominierende Datenquelle: Die Einschätzung basiert hauptsächlich auf der visuellen Aufmerksamkeit auf den Bildschirm für Ablenkung.
